station,date,datatype,value,attributes
GHCND:US1ORCB0023,2023-01-01T00:00:00,PRCP,0.14,",,N,0830"
GHCND:US1ORCB0030,2023-01-01T00:00:00,PRCP,0.06,",,N,0815"
GHCND:US1ORCB0036,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORCB0037,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORCB0040,2023-01-01T00:00:00,PRCP,0.13,",,N,0700"
GHCND:US1ORCB0041,2023-01-01T00:00:00,PRCP,0.11,",,N,0858"
GHCND:US1ORCC0003,2023-01-01T00:00:00,PRCP,0.09,",,N,0700"
GHCND:US1ORCC0008,2023-01-01T00:00:00,PRCP,0.04,",,N,0700"
GHCND:US1ORCC0019,2023-01-01T00:00:00,PRCP,0.06,",,N,0700"
GHCND:US1ORCC0035,2023-01-01T00:00:00,PRCP,0.04,",,N,0700"
GHCND:US1ORCC0040,2023-01-01T00:00:00,PRCP,0.03,",,N,0800"
GHCND:US1ORCC0055,2023-01-01T00:00:00,PRCP,0.15,",,N,0700"
GHCND:US1ORCC0064,2023-01-01T00:00:00,PRCP,0.54,",,N,0800"
GHCND:US1ORCC0066,2023-01-01T00:00:00,PRCP,0.05,",,N,0700"
GHCND:US1ORCC0066,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCC0066,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORCC0066,2023-01-01T00:00:00,WESD,0.0,",,N,0700"
GHCND:US1ORCC0066,2023-01-01T00:00:00,WESF,0.0,",,N,0700"
GHCND:US1ORCC0067,2023-01-01T00:00:00,PRCP,0.08,",,N,0700"
GHCND:US1ORCC0075,2023-01-01T00:00:00,PRCP,0.03,",,N,0800"
GHCND:US1ORCC0076,2023-01-01T00:00:00,PRCP,0.06,",,N,0700"
GHCND:US1ORCC0076,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCC0076,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORCC0080,2023-01-01T00:00:00,PRCP,0.09,",,N,0800"
GHCND:US1ORCC0081,2023-01-01T00:00:00,PRCP,0.0,",,N,0900"
GHCND:US1ORCC0081,2023-01-01T00:00:00,SNOW,0.0,",,N,0900"
GHCND:US1ORCC0088,2023-01-01T00:00:00,PRCP,0.04,",,N,0700"
GHCND:US1ORCC0088,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCC0088,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORCC0088,2023-01-01T00:00:00,WESD,0.0,",,N,0700"
GHCND:US1ORCC0088,2023-01-01T00:00:00,WESF,0.0,",,N,0700"
GHCND:US1ORCC0093,2023-01-01T00:00:00,PRCP,0.1,",,N,0746"
GHCND:US1ORCC0097,2023-01-01T00:00:00,PRCP,0.04,",,N,0700"
GHCND:US1ORCC0100,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORCC0102,2023-01-01T00:00:00,PRCP,0.03,",,N,0730"
GHCND:US1ORCC0103,2023-01-01T00:00:00,DAPR,5,",,N,0800"
GHCND:US1ORCC0103,2023-01-01T00:00:00,MDPR,1.9,",,N,0800"
GHCND:US1ORCC0104,2023-01-01T00:00:00,PRCP,0.08,",,N,0700"
GHCND:US1ORCC0105,2023-01-01T00:00:00,PRCP,0.09,",,N,0700"
GHCND:US1ORCC0106,2023-01-01T00:00:00,PRCP,0.55,",,N,0700"
GHCND:US1ORCC0107,2023-01-01T00:00:00,PRCP,0.41,",,N,0700"
GHCND:US1ORCC0110,2023-01-01T00:00:00,PRCP,0.01,",,N,0800"
GHCND:US1ORCC0112,2023-01-01T00:00:00,PRCP,0.11,",,N,0630"
GHCND:US1ORCC0113,2023-01-01T00:00:00,PRCP,0.24,",,N,0800"
GHCND:US1ORCC0115,2023-01-01T00:00:00,PRCP,0.03,",,N,0700"
GHCND:US1ORCC0115,2023-01-01T00:00:00,SNOW,0.0,",,N,0700"
GHCND:US1ORCC0115,2023-01-01T00:00:00,SNWD,0.0,",,N,0700"
GHCND:US1ORCC0115,2023-01-01T00:00:00,WESD,0.0,",,N,0700"
GHCND:US1ORCC0115,2023-01-01T00:00:00,WESF,0.0,",,N,0700"
GHCND:US1ORCC0116,2023-01-01T00:00:00,PRCP,0.05,",,N,0900"
GHCND:US1ORCC0118,2023-01-01T00:00:00,PRCP,0.03,",,N,0730"
GHCND:US1ORCC0119,2023-01-01T00:00:00,PRCP,0.04,",,N,0700"
GHCND:US1ORCC0121,2023-01-01T00:00:00,PRCP,0.02,",,N,0700"
GHCND:US1ORCK0001,2023-01-01T00:00:00,PRCP,0.0,",,N,0700"
